mapping_key,candidate_rank,match_score,activity_group,boundary_role,activity_name,location,reference_product,unit,source_name,source_file,database,system_model,version,basis,licence_status,review_status,notes
electricity,3,10,operation,compression pumping monitoring and auxiliary power,"market group for electricity, medium voltage",RER,"electricity, medium voltage",,ecoinvent,09e70f97-453b-43a8-9126-9ed2933da7c3_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,,,,"Operational energy is needed when compression, pumping or monitoring loads are allocated to the pipeline.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
electricity,4,9,operation,compression pumping monitoring and auxiliary power,"market group for electricity, medium voltage",GLO,"electricity, medium voltage",,ecoinvent,1612b486-aeef-4d09-aa9a-e239057b50f1_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,,,,"Operational energy is needed when compression, pumping or monitoring loads are allocated to the pipeline.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
electricity,5,8,operation,compression pumping monitoring and auxiliary power,electricity voltage transformation from medium to low voltage,GB,"electricity, low voltage",,ecoinvent,2661503b-2383-48e9-acf6-5a67b227f448_d69294d7-8d64-4915-a896-9996a014c410.spold,,,,"Operational energy is needed when compression, pumping or monitoring loads are allocated to the pipeline.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
electricity,6,8,operation,compression pumping monitoring and auxiliary power,"electricity, from municipal waste incineration to generic market for electricity, medium voltage",GB,"electricity, medium voltage",,ecoinvent,14980399-95b1-4e0c-9647-a78932ea802c_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,,,,"Operational energy is needed when compression, pumping or monitoring loads are allocated to the pipeline.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
electricity,7,8,operation,compression pumping monitoring and auxiliary power,"market for electricity, medium voltage",GB,"electricity, medium voltage",,ecoinvent,54b22b0a-130c-4717-b506-f6c87ad17a56_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold,,,,"Operational energy is needed when compression, pumping or monitoring loads are allocated to the pipeline.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
electricity,8,8,operation,compression pumping monitoring and auxiliary power,"market group for electricity, high voltage",Europe without Switzerland,"electricity, high voltage",,ecoinvent,1a107201-12d8-478a-b26e-2e1f30328f0b_66c93e71-f32b-4591-901c-55395db5c132.spold,,,,"Operational energy is needed when compression, pumping or monitoring loads are allocated to the pipeline.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
electricity,9,8,operation,compression pumping monitoring and auxiliary power,"market group for electricity, low voltage",Europe without Switzerland,"electricity, low voltage",,ecoinvent,0b44e824-fbe7-4173-847f-d3f41639ee0e_d69294d7-8d64-4915-a896-9996a014c410.spold,,,,"Operational energy is needed when compression, pumping or monitoring loads are allocated to the pipeline.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
electricity,10,8,operation,compression pumping monitoring and auxiliary power,"electricity voltage transformation from high to medium voltage, cobalt industry",GLO,"electricity, medium voltage, cobalt industry",,ecoinvent,7eabcb53-8f97-4104-b00f-b9307d68bb5c_3c502ce5-8c62-59fd-abf3-38ff13db2405.spold,,,,"Operational energy is needed when compression, pumping or monitoring loads are allocated to the pipeline.",shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,1,9,construction_refurbishment,construction and refurbishment fuel or machinery proxy,"market for diesel, low-sulfur",Europe without Switzerland,"diesel, low-sulfur",,ecoinvent,039e042d-6fc9-4b6c-b29e-6a3f8b25654f_b80eb2d5-1256-41bb-a61d-83252d0dfd4d.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,2,7,construction_refurbishment,construction and refurbishment fuel or machinery proxy,market for diesel,Europe without Switzerland,diesel,,ecoinvent,eb654307-3a9f-4434-b76e-6c80f8531cc3_291fc06d-1b3e-4077-aabb-346b588ed24b.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,3,6,construction_refurbishment,construction and refurbishment fuel or machinery proxy,"diesel production, low-sulfur, petroleum refinery operation",Europe without Switzerland,"diesel, low-sulfur",,ecoinvent,802876b8-da28-4559-b057-0905d4fe707c_b80eb2d5-1256-41bb-a61d-83252d0dfd4d.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,4,6,construction_refurbishment,construction and refurbishment fuel or machinery proxy,"market for diesel, low-sulfur",RoW,"diesel, low-sulfur",,ecoinvent,87d99004-7223-49d4-a64f-1d9fa21d6c63_b80eb2d5-1256-41bb-a61d-83252d0dfd4d.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,5,5,construction_refurbishment,construction and refurbishment fuel or machinery proxy,"market group for diesel, low-sulfur",RER,"diesel, low-sulfur",,ecoinvent,024b8b5a-f6a5-4e4c-b229-1eacf923bbc7_b80eb2d5-1256-41bb-a61d-83252d0dfd4d.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,6,5,construction_refurbishment,construction and refurbishment fuel or machinery proxy,"machine operation, diesel, < 18.64 kW, generators",GLO,"machine operation, diesel, < 18.64 kW, generators",,ecoinvent,f2e18575-d992-42cd-812e-32a29da062f8_637b1880-31ae-4205-ad16-064b9069a97c.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,7,5,construction_refurbishment,construction and refurbishment fuel or machinery proxy,"machine operation, diesel, < 18.64 kW, high load factor",GLO,"machine operation, diesel, < 18.64 kW, high load factor",,ecoinvent,069ddb97-b465-46d6-b3ea-52fe70826327_77f87b3f-c9f9-4693-b611-a1fe6011994a.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,8,5,construction_refurbishment,construction and refurbishment fuel or machinery proxy,"machine operation, diesel, < 18.64 kW, low load factor",GLO,"machine operation, diesel, < 18.64 kW, low load factor",,ecoinvent,b0a81f6c-3e2b-47bc-9ff5-9cde4ef5542f_4ded4b10-8c5a-41bf-9098-0194fc46b639.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,9,5,construction_refurbishment,construction and refurbishment fuel or machinery proxy,"machine operation, diesel, < 18.64 kW, steady-state",GLO,"machine operation, diesel, < 18.64 kW, steady-state",,ecoinvent,8f3e4600-2318-42cc-a407-2de225ce45e6_6fd6b3c8-1ee7-4a23-8291-e3f0f22f22a7.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
diesel_machinery,10,5,construction_refurbishment,construction and refurbishment fuel or machinery proxy,"machine operation, diesel, < 18.64 kW, underground mining",GLO,"machine operation, diesel, < 18.64 kW, underground mining",,ecoinvent,e5e2eef7-a3ca-457e-80a4-cfaf5c17d13a_bfc12aad-8c6e-42de-a21a-3a12c7d0ca1d.spold,,,,Fuel proxy for construction/refurbishment equipment until vessel-specific data are selected.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,1,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 16-32 metric ton, EURO3",RER,"transport, freight, lorry 16-32 metric ton, EURO3",,ecoinvent,1d551ddf-c21a-4a3e-8c8c-8bb6c0d67e4c_f9895e44-5657-47fc-8eec-a4985e2bce2e.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,2,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 16-32 metric ton, EURO4",RER,"transport, freight, lorry 16-32 metric ton, EURO4",,ecoinvent,03129685-08bf-44c2-8178-8e38fd49bdea_fb655769-10d8-446b-87f8-44ca60e20ed9.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,3,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 16-32 metric ton, EURO5",RER,"transport, freight, lorry 16-32 metric ton, EURO5",,ecoinvent,56d3b7b6-94bf-40af-870d-dcbcfccace5d_f4e8b38b-d6c7-423b-bc9c-13b4a13d55f8.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,4,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 16-32 metric ton, EURO6",RER,"transport, freight, lorry 16-32 metric ton, EURO6",,ecoinvent,a5e27e8f-a003-4cfb-8d5b-233622d92d6a_c691b775-a65a-4b77-a588-c8c6cd01c725.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,5,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 3.5-7.5 metric ton, EURO3",RER,"transport, freight, lorry 3.5-7.5 metric ton, EURO3",,ecoinvent,d858564b-2464-48f1-bee7-04542643d145_c0a7ba59-f9b5-45b5-8e1d-6e4e40ba86df.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,6,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 3.5-7.5 metric ton, EURO4",RER,"transport, freight, lorry 3.5-7.5 metric ton, EURO4",,ecoinvent,820fb688-b696-4b20-bfbd-89b840dfe253_03bf1369-1eec-49d0-bc4b-8b29efa826b9.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,7,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 3.5-7.5 metric ton, EURO5",RER,"transport, freight, lorry 3.5-7.5 metric ton, EURO5",,ecoinvent,dfdcaafa-5e74-4183-b01d-fa437af721a8_99598921-d5df-489f-b96c-7dd4ba6b36a6.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,8,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 3.5-7.5 metric ton, EURO6",RER,"transport, freight, lorry 3.5-7.5 metric ton, EURO6",,ecoinvent,bb07b9cf-9587-4c13-bb19-56b40f0e0b1b_ccc1fbd3-3877-43b6-a845-0c2ed8359c29.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,9,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 7.5-16 metric ton, EURO3",RER,"transport, freight, lorry 7.5-16 metric ton, EURO3",,ecoinvent,2f868802-03ad-4c04-ad16-c668b9cfbc85_ae39ee61-d4d0-4cce-93b4-0745344da5fa.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
freight_transport,10,8,logistics,transport of materials equipment and waste,"market for transport, freight, lorry 7.5-16 metric ton, EURO4",RER,"transport, freight, lorry 7.5-16 metric ton, EURO4",,ecoinvent,c72a89fd-d30a-47f0-99ba-b451e893e138_639dba7b-1762-4e9a-a95c-f30380e65d53.spold,,,,Material and waste movement should be included when distances and masses are available.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,1,10,end_of_life,scrap or waste steel sensitivity,"treatment of scrap steel, inert material landfill",Europe without Switzerland,scrap steel,,ecoinvent,194526a0-a75b-4a60-8680-33757b101f61_d1a4a803-c563-4740-84cf-3c21a488bd74.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,2,10,end_of_life,scrap or waste steel sensitivity,"treatment of scrap steel, municipal incineration",Europe without Switzerland,"iron scrap, sorted, pressed",,ecoinvent,406b19b1-5b89-4871-b009-f533473c0f41_4f312355-ac65-4635-8fb2-006dba64ce60.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,3,10,end_of_life,scrap or waste steel sensitivity,"treatment of scrap steel, municipal incineration",Europe without Switzerland,scrap steel,,ecoinvent,406b19b1-5b89-4871-b009-f533473c0f41_d1a4a803-c563-4740-84cf-3c21a488bd74.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,4,8,end_of_life,scrap or waste steel sensitivity,market for scrap steel,Europe without Switzerland,scrap steel,,ecoinvent,6710d64e-9099-4848-8fdc-3784ad945faf_d1a4a803-c563-4740-84cf-3c21a488bd74.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,5,7,end_of_life,scrap or waste steel sensitivity,"treatment of scrap steel, inert material landfill",RoW,scrap steel,,ecoinvent,d1dd4757-d895-4eed-b541-4084fa184bd0_d1a4a803-c563-4740-84cf-3c21a488bd74.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,6,7,end_of_life,scrap or waste steel sensitivity,"treatment of scrap steel, municipal incineration",RoW,"iron scrap, sorted, pressed",,ecoinvent,ede2918b-bbb3-4d32-9aa2-4be5ee63f69a_4f312355-ac65-4635-8fb2-006dba64ce60.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,7,7,end_of_life,scrap or waste steel sensitivity,"treatment of scrap steel, municipal incineration",RoW,scrap steel,,ecoinvent,ede2918b-bbb3-4d32-9aa2-4be5ee63f69a_d1a4a803-c563-4740-84cf-3c21a488bd74.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,8,6,end_of_life,scrap or waste steel sensitivity,"treatment of scrap steel, inert material landfill",CH,scrap steel,,ecoinvent,5f09b08b-bd3a-41af-ae03-eb2544eaa8af_d1a4a803-c563-4740-84cf-3c21a488bd74.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,9,6,end_of_life,scrap or waste steel sensitivity,"treatment of scrap steel, municipal incineration",CH,scrap steel,,ecoinvent,2bbf6539-5b41-470c-aebe-d5f2e102e081_d1a4a803-c563-4740-84cf-3c21a488bd74.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
scrap_steel,10,6,end_of_life,scrap or waste steel sensitivity,"treatment of scrap steel, municipal incineration with fly ash extraction",CH,"iron scrap, sorted, pressed",,ecoinvent,0d02f9c4-1570-46d1-b92e-0d8d94ef16d9_4f312355-ac65-4635-8fb2-006dba64ce60.spold,,,,Steel recycling/disposal choices can strongly affect results and must stay explicit.,shareable_metadata_only,needs_lca_review,Candidate activity only; final selection and impact factor must be reviewed privately.
